#alias	STUDY	SAMPLE	RUN/s	filename	md5	unencr_md5	reads_mapped
C004SQ51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS206500	ERR776989,ERR776984,ERR776987,ERR776988,ERR777003,ERR776998,ERR777001,ERR777002,ERR777022,ERR777023	release_20150820_bcf/C004SQ51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	80553b44daa7dc49c0640d19f3610dd9	 8899fc7bc2f032d456493ba1c2d3f684	3631570737
S00FTN51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433799	ERR670143,ERR670119,ERR670135,ERR670139,ERR670159,ERR669935,ERR669939,ERR669995,ERR669999,ERR670003,ERR670007,ERR670011,ERR670015,ERR670019,ERR670035	release_20150820_bcf/S00FTN51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ff59deb6c4f2e7a02f2faaafa459666c	 45bbceada263d3ea1156092d6f0c71b3	1216221162
S0050AA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS377553	ERR385880,ERR385874,ERR385876,ERR385878,ERR385882,ERR385884,ERR385886,ERR385888,ERR385890	release_20150820_bcf/S0050AA1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	9a54e50c88a2f459858ed3e1192e7ae2	 4f1d9e8c5be1a9db89fecc5766296124	849902943
S001JP51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS222266	ERR515101,ERR515021,ERR515089,ERR515093,ERR515105,ERR515109,ERR515113	release_20150820_bcf/S001JP51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	66157e943df83442fc956e3aee3dcfed	 b6e24f9055a5b048769f38f959509b03	1033930582
S00V3BN1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS568976	ERR664052,ERR664043,ERR664046,ERR664049,ERR664055,ERR664058,ERR664061,ERR664064,ERR664067,ERR664070,ERR664073,ERR664076,ERR664079,ERR664082,ERR664085	release_20150820_bcf/S00V3BN1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	3a04fc3724f6250474315ac7e9c7d165	 8542e556a2569341742b0ccdf365ae3c	1119095773
S001MJ51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337083	ERR381252,ERR381255,ERR381266,ERR381285,ERR381288,ERR381307,ERR381326,ERR381214,ERR381233,ERR381345	release_20150820_bcf/S001MJ51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	6c59818cc0ec097eb6723067047a3001	 9bc613159fac396b2442c55c198ef793	850231862
C005UI52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS222236	ERR515028,ERR515033,ERR515036,ERR515047,ERR515050,ERR515053,ERR515056,ERR515059,ERR515062,ERR515119,ERR515121,ERR515123,ERR515125	release_20150820_bcf/C005UI52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	3be5e017e3e202f3d411dd5ceecd1cbe	 2fdf18d7a01f23f20945fdcca86d46d0	1008897457
C0066P51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS222241	ERR381243,ERR381261,ERR381272,ERR381276,ERR381336,ERR381294,ERR381298,ERR381302,ERR381306,ERR381332,ERR381340,ERR381239,ERR381344,ERR381351	release_20150820_bcf/C0066P51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	48d8c182b0301c46df1793be4256a896	 0013da8233dec0be155e3a28d1110395	871576842
S0062252.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337121	ERR381254,ERR381257,ERR381268,ERR381287,ERR381290,ERR381309,ERR381328,ERR381216,ERR381235,ERR381347	release_20150820_bcf/S0062252.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	bbd6535984979d2a172347138a0dd2ed	 803e5d6ce09da23c04e45f79d1d3111b	882510031
S00DM851.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523625	ERR670104,ERR670108,ERR670152,ERR669928,ERR669956,ERR669960,ERR669964,ERR670028,ERR670068,ERR670072,ERR670076,ERR670080,ERR670084,ERR670088,ERR670092	release_20150820_bcf/S00DM851.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	12bed864dcf4ab5ef868e14504c360ea	 790d187a89414e77cd3591bfac6cb901	1191929779
