#type	chr	number
CHIP_MACS2_BROAD_BB	chrUn_GL000224v1	5
CHIP_MACS2_BROAD_BB	chrUn_KI270742v1	3
CHIP_MACS2_BROAD_BB	chr1_KI270709v1_random	3
CHIP_MACS2_BROAD_BB	chr1_KI270707v1_random	1
CHIP_MACS2_BROAD_BB	chr22_KI270733v1_random	7
CHIP_MACS2_BROAD_BB	chr14	8
CHIP_MACS2_BROAD_BB	chrUn_KI270508v1	1
CHIP_MACS2_BROAD_BB	chrY	6
CHIP_MACS2_BROAD_BB	chr17_KI270730v1_random	2
CHIP_MACS2_BROAD_BB	chrUn_GL000219v1	8
CHIP_MACS2_BROAD_BB	chr1	8
CHIP_MACS2_BROAD_BB	chrUn_KI270507v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270588v1	1
CHIP_MACS2_BROAD_BB	chr22_KI270734v1_random	2
CHIP_MACS2_BROAD_BB	chrUn_KI270757v1	2
CHIP_MACS2_BROAD_BB	chr21	8
CHIP_MACS2_BROAD_BB	chrUn_KI270518v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270322v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270519v1	2
CHIP_MACS2_BROAD_BB	chr3	8
CHIP_MACS2_BROAD_BB	chr18	8
CHIP_MACS2_BROAD_BB	chr9_KI270719v1_random	4
CHIP_MACS2_BROAD_BB	chr22_KI270731v1_random	2
CHIP_MACS2_BROAD_BB	chr15	8
CHIP_MACS2_BROAD_BB	chrUn_KI270515v1	1
CHIP_MACS2_BROAD_BB	chr2	8
CHIP_MACS2_BROAD_BB	chrUn_KI270521v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270510v1	1
CHIP_MACS2_BROAD_BB	chr14_GL000009v2_random	8
CHIP_MACS2_BROAD_BB	chrUn_KI270591v1	2
CHIP_MACS2_BROAD_BB	chrUn_KI270429v1	1
CHIP_MACS2_BROAD_BB	chrUn_KI270750v1	1
CHIP_MACS2_BROAD_BB	chr22_KI270736v1_random	2
CHIP_MACS2_BROAD_BB	chrUn_KI270743v1	4
CHIP_MACS2_BROAD_BB	chr10	8
CHIP_MACS2_BROAD_BB	chrUn_KI270442v1	6
CHIP_MACS2_BROAD_BB	chr7	8
CHIP_MACS2_BROAD_BB	chr20	8
